Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,^GSPC,type
1998-12-23,0.010447996827452483,0.020605175118952702,0.01463742956295111,0.01729900642145847,0.023609760326789846,0.023887246939173063,-0.004199226544769421,0.02222290209220256,0.00428605189411784,0.02053440866502617,daily
1998-12-24,0.0227525910083294,-0.0052766370449874095,0.006583248334241421,0.013105990805316868,-0.003816530416997605,-0.0017298631731624357,0.018244015719654734,0.006086407223780078,0.01815977554277101,-0.0018494466977959478,daily
1998-12-28,-0.008745488775144411,-0.005305203752276336,-0.013210123189942892,0.005195212444204292,0.0028638993338647744,-0.005782865177073436,-0.005178724116964653,-0.014670297458113766,-0.009039067449147144,-0.0006363015303995157,daily
1998-12-29,0.018136405225832587,0.009923211458764862,0.010581971951788857,0.01414823840255494,0.002855330985007021,0.02180226900478225,0.01647819331828711,0.0219252469465238,0.021557932181386495,0.013229283877657235,daily
1998-12-30,-0.0028804270575123955,-0.015256958774895621,-0.00395509709608721,-0.004479921793559611,-0.0038091052400070135,-0.006262694687905778,-0.008205396792196078,-0.008469646911238707,-0.008328142107591611,-0.00798795101261078,daily
1998-12-31,0.011469802997568583,-0.0013380181134299155,-0.009290276119920013,0.008303963277970913,-0.003824062852636074,-0.007451842991419525,-0.0036109654692539498,0.01087656904687208,-0.0011958981884554929,-0.0021941477091558708,daily
1999-01-04,-0.012190726798960817,-0.0006691007242866081,0.0,-0.014093665368143788,0.011428440481800696,-0.008087731325456789,-0.016150284077678906,-0.002406922135633401,-0.0059988442326552914,-0.0009197014504947499,daily
1999-01-05,0.02423462789363552,-0.005372984782904132,0.009290276119919918,0.020434729297169076,0.025247062016598657,0.007512728350235958,0.012008084724331675,0.015541615888572663,0.016707355645265747,0.013490591255994359,daily
1999-01-06,0.017452701321973085,0.03246390004712049,0.03121174182606632,0.021264075656286685,0.029119477920499556,0.012016828233240559,0.010324466030741861,0.01647102432790258,0.028006279316382315,0.021898866924011592,daily
1999-01-07,-0.0076411555850733415,-0.004574042979302383,0.015247917650685804,-0.008701069160778422,-0.003144051718788209,-0.011441825258019641,-0.0036016757970896316,-0.004678724368878611,-0.0011512625131749363,-0.002053433873820682,daily
1999-01-08,0.0335988102886884,0.004574042979302416,0.0062858054355504345,0.007462432178420989,0.004040172082263384,-0.004035589046891169,0.005654366991415304,0.012234401054886166,0.0011512625131750826,0.004212473487898209,daily
1999-01-11,0.002021642242315857,-0.019085840555731974,-0.015151726378388991,-0.009337066523120545,0.009808542615355317,-0.020426660867502805,-0.02701518242408785,0.0023140723492979204,-0.005191630306776749,-0.008830379176363489,daily
1999-01-12,-0.025905390158828596,-0.015400561994363692,-0.028389228038866378,-0.011953895743117336,-0.027435648156759765,-0.007695047857751093,0.0005266074291340698,-0.004052118344625866,-0.026371689101478416,-0.019470210263938685,daily
1999-01-13,-0.022346950847301126,-0.014955833175154556,-0.013175397041076582,-0.02564230840911875,-0.00045656399059946465,0.0017809323887753904,0.006818821762516377,-0.009324566861222822,0.0047393262854796255,-0.004131106263548749,daily
1999-01-14,-0.017094681051691384,-0.019364805252190323,-0.025521933882685904,-0.004555346514088082,-0.013780417666776401,-0.019162202846041372,-0.01686894105133712,-0.008230532598810143,-0.02271462241724462,-0.018156449144760296,daily
1999-01-15,0.014973935989242184,0.015246735233588748,0.028170549407767614,0.016818151308519148,0.029172650145539245,0.010824121713036063,0.004773423366156813,0.01348628263958212,0.012616839369844595,0.025308377169628533,daily
1999-01-19,-0.01857261629156829,0.0,-0.005304603834753804,-0.0019270855529208296,0.03400637380919397,-0.01142903529560018,0.033301569616750494,0.028138316143910467,-0.000597116370361417,0.007005302808144316,daily
1999-01-20,-0.003611275414489141,-0.008287539064158448,0.007287523555937504,-0.004508019086510554,0.009076661382875136,0.0030204270823653403,-0.004102400666099811,0.005647018653476816,0.016588082980469446,0.0036833002601853186,daily
1999-01-21,-0.00435133282709105,0.008287539064158442,-0.017982929313207902,-0.008428424413768206,-0.026156747740520833,-0.015193279714300737,-0.0036036092405571244,-0.03553414866761625,-0.009445423425298463,-0.017225028921485926,daily
1999-01-22,-0.01981571305409346,-0.0055173304896323815,-0.006743231186362729,-0.019724489769412427,-0.017825414098564852,-0.004911107070679507,0.006681886498473478,-0.004092498713660565,0.004734206099089667,-0.008104657830393575,daily
1999-01-25,0.019815713054093558,-0.0013841450306265072,0.008086386678434235,0.016464317262699136,0.01738418586509179,-0.002464342492973794,-0.038114510284686896,0.008168105630327651,-0.0023642524301058735,0.007148815882362021,daily
1999-01-26,-0.0029106600167594183,-0.009742600634256658,0.0006712010256121807,0.0,0.039424283580662974,0.023171819069692123,0.01949986309169069,0.0046376174249435,0.023392297406460594,0.014745190582961525,daily
1999-01-27,-0.008049684846688708,-0.018348996019366917,-0.01282539179809927,0.007807409650052303,-0.02146883305103373,0.013173683191552927,-0.015251244329696103,-0.009881014256864022,-0.0011566856818337658,-0.007325288236186818,daily
1999-01-28,-0.012569712072275974,-0.005714379061033554,0.014834931014495872,0.0012954035461869178,0.0345523715653783,0.017689359014732904,0.001588445314125241,0.01851897364837976,0.010362793956940126,0.017699961257013532,daily
1999-01-29,0.005194844732520721,0.0,0.02119291435803411,0.006451775646389402,0.014568609244705788,0.0023350693128745483,-0.00158844531412526,0.0,0.0068494092304513966,0.011214234148275623,daily
1999-02-01,0.008109191943559984,-0.010079730757707855,-0.017184805599062616,0.0012849071266994407,0.0008264699880701727,-0.004089956509929332,-0.002122218811165307,0.005717325372838301,0.0022728132153357096,-0.005202480245369034,daily
1999-02-02,0.0007338673230513678,0.0014465546579137114,-0.010723482156849084,-0.0077366827730887214,-0.0170741723210575,0.008162581808476656,-0.013366073101753842,-0.014933733125962002,-0.012564410179181987,-0.00868648715618645,daily
1999-02-03,0.0007335736459651086,0.02285853469022639,0.00738494863238968,0.009661647422096969,0.007115062670470952,-0.0034895067587689603,0.0053678363007046695,0.01891709956577828,0.015964161087837377,0.007955620207956756,daily
1999-02-04,0.028903419732311187,0.005633283948145414,-0.023690007330478328,0.0012816114318039216,-0.03479364121730375,-0.004673075049707707,-0.015102188223039846,-0.00740977516833834,-0.005672564123991045,-0.018710639354908742,daily
1999-02-05,0.013442009386794495,0.02770306467462925,-0.008253408964257409,-0.0032065760808122124,-0.024476528790066458,-0.015339768742636078,0.000542725252139921,-0.011507324397439955,-0.025346972927133768,-0.00730740202796962,daily
1999-02-08,-0.004930880232881095,0.013568659021178892,-0.002765843363807781,0.0032065760808123503,0.016674538545034052,-0.001784689146896595,0.0,-0.0005790992939951931,0.016204279174706147,0.0035196942224907215,daily
1999-02-09,-0.019252590895781248,-0.019048453194689452,-0.013947648489322924,-0.013535937872912577,-0.03995193714177233,-0.018029552346280227,0.004336548596110817,-0.018112954233069453,-0.03148959227615379,-0.02246518492583559,daily
1999-02-10,0.0021579098440899823,0.0027436082138210163,0.008392018160271832,0.00388627937492438,0.007219591061819573,0.0072504573824626285,-0.007056015459221578,0.0023551415680060387,0.0,0.006074588798675335,daily
1999-02-11,-0.010109169695501807,-0.008253681537713456,0.03959531475308243,0.013483222762480885,0.041397549339071554,0.016716421353608183,0.004347824269274963,0.02669927772353329,0.0320635968113793,0.02461386143846869,daily
1999-02-12,-0.005091830349643966,-0.020935684173799592,-0.014834931014495907,-0.005755934754719978,-0.04049842269205511,-0.008322245602783702,-0.016402159779209172,-0.015002990245997173,-0.017945869881659297,-0.01925051195228341,daily
1999-02-16,-0.009528075970836667,-0.007076522071528997,0.014834931014495872,0.005118068967247502,-0.004502406880188558,0.011868667208377889,0.01802837696179994,0.00925970817301372,0.012768884807232282,0.009498445388233747,daily
1999-02-17,-0.01036226946364791,-0.009993478240484901,0.004008108758971345,0.0,-0.022821754350545106,-0.010079375856587344,-0.007063595956570214,-0.010423422402909744,-0.003466528895762271,-0.014469586685446883,daily
1999-02-18,0.007412889996097722,0.0028651939118791245,0.009950924820156035,0.0,0.0055249779584208795,0.010669645764982277,0.01783360572836112,0.012724464876375305,0.0011566856818338485,0.010766728028575919,daily
1999-02-19,0.008091053502147227,-0.0057388878794963905,0.003294448395851194,0.006361920662482885,0.009140675621702924,-0.004136691513988935,-0.01077000977179096,0.00286952903806069,0.005188735304445853,0.001566680236662038,daily
1999-02-22,0.01670952656014591,0.010021917798660225,0.02853661630434963,0.015103658846901838,0.034871467858651854,0.021090816096396885,0.03196833803998797,0.020981786445327326,0.02498728887873636,0.02621840747563431,daily
1999-02-23,-0.00868341312266682,-0.008583416154611978,0.012706544666460174,-0.0006248368634457639,0.013094829567458183,-0.001741102788178022,-0.031968338039988,-0.0016847665726805732,-0.005060271342324332,-0.000754888065430078,daily
1999-02-24,-0.0029106600167594183,-0.004319673846471008,-0.03337975445537951,-0.002503629146693153,-0.02814600086369721,-0.005823956310956265,0.009161729397499756,-0.011874863945061893,-0.012479075661138145,-0.014077780858909051,daily
1999-02-25,0.0,0.005037838454883369,-0.006548174393965446,-0.02025334459829726,0.002672839846168287,-0.011750256394121888,-0.021693372172618148,-0.009717120044211014,-0.011481040806333402,-0.006716254612827944,daily
1999-02-26,0.0,-0.006482303614628103,0.01822928875289143,0.0031918070722868398,-0.03071630655825063,0.00295063557419208,0.0060128874070285825,0.0028676746780833067,0.008623446568723919,-0.005387947511782114,daily
1999-03-01,-0.011730647857338595,-0.010167121663638763,0.0038634146016867767,-0.0006377101857631826,-0.004597707514734061,-0.00472613617733264,-0.014823501187173,-0.0017194298509586275,0.0005720776751443045,-0.0017538340747184575,daily
1999-03-02,-0.008888749061626013,-0.01027219363902655,0.002567505774757886,-0.008325047472004203,-0.027091837932319233,-0.002964222384011831,-0.01504602204946502,-0.0005740098409790849,0.0022855165624649995,-0.008660904159638369,daily
1999-03-03,-0.006718819958590798,0.021883780462410206,-0.009662079873386832,-0.005805021039242421,0.016902125837562194,0.0,0.0005616629822040164,-0.006333953017234224,-0.005149848891363915,0.0017935364465930196,daily
